platform,video_id,video_title,video_views,channel_title,comment_id,parent_id,author,text,likes,published_at,updated_at,is_reply,collected_at,hashtag_query
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwHtSWuFll8whP0u3t4AaABAg,,@SabrySaidy-w1j,Kamua baba platinum,0,2025-12-06T04:25:58Z,2025-12-06T04:25:58Z,False,2025-12-09T19:07:17.719737,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwWHqxyCiPaI_iSj5B4AaABAg,,@AgostinoThomas-x7p8r,Ahahahah  mbn huyu madam  ni ana mitego ivo,0,2025-12-06T03:29:04Z,2025-12-06T03:29:04Z,False,2025-12-09T19:07:17.719744,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwfJ-jqZc6glGiNomF4AaABAg,,@OrientZan-p7q,hiliii goma ni hatari,0,2025-12-05T22:01:01Z,2025-12-05T22:01:01Z,False,2025-12-09T19:07:17.719756,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxqZSZfGiupjTfdy6h4AaABAg,,@InGodwetrustMusonda,Ww,0,2025-12-05T18:20:54Z,2025-12-05T18:20:54Z,False,2025-12-09T19:07:17.719768,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxNTVkO7ajWS7wvDtt4AaABAg,,@WASHAWASHA-w6s,Oy kaka #🎉Kazi kiza 🎹🎹🎙️🎙️,1,2025-12-05T17:46:13Z,2025-12-05T17:46:13Z,False,2025-12-09T19:07:17.719775,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugz_j_lQgKlmlTLPd2V4AaABAg,,@MurebwayireSaidati-n3u,💕💕❤❤❤❤🫂,0,2025-12-05T16:42:44Z,2025-12-05T16:42:44Z,False,2025-12-09T19:07:17.719782,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugyo9nE3re0p5lBLOBt4AaABAg,,@JacquelineMkuchika,Nice🎉🎉,0,2025-12-05T15:49:50Z,2025-12-05T15:49:50Z,False,2025-12-09T19:07:17.719789,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgzpJ8gOWQ5HNP1tX954AaABAg,,@HadijajSaid-m3l4w,Simba juuu🎉🎉🎉,0,2025-12-05T09:43:04Z,2025-12-05T09:43:04Z,False,2025-12-09T19:07:17.719796,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwjIATVkkbNH1SHKPh4AaABAg,,@esthernjoroge1320,❤❤ Diamond is the GOAT 🙌🙌,0,2025-12-05T09:15:51Z,2025-12-05T09:15:51Z,False,2025-12-09T19:07:17.719803,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxT3_wlSFhjEE9U_nh4AaABAg,,@nyabutomyles9151,"Huyu Simba tumetoka na yeye mbali sana. Tangu mbagala hadi huku, bidii na uchuzi muhimu kwa hii game ya muziki ❤",1,2025-12-04T23:00:07Z,2025-12-04T23:00:07Z,False,2025-12-09T19:07:17.719810,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugxw0Aw1XpKfQLq44Zx4AaABAg,,@KenDrew-r6j,Bonge Moja la Ngoma plus bonge la video,1,2025-12-04T20:53:38Z,2025-12-04T20:53:38Z,False,2025-12-09T19:07:17.719816,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxDvdCl6zxz61sWUl54AaABAg,,@EsterLaban-b4j,Nimechek et unatuna chini,0,2025-12-04T18:27:51Z,2025-12-04T18:27:51Z,False,2025-12-09T19:07:17.719823,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgzUZkYetNZJ8yFFT-54AaABAg,,@Uppertz,Big🎉,0,2025-12-04T17:32:06Z,2025-12-04T17:32:06Z,False,2025-12-09T19:07:17.719836,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugwc3YkDoCu19u6SNu14AaABAg,,@ZakiahKhamisi-k7y,I like it ❤❤❤❤,0,2025-12-04T17:00:00Z,2025-12-04T17:00:00Z,False,2025-12-09T19:07:17.719843,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugz9TXh98IGtWl12WPZ4AaABAg,,@ronaldo-x7y6u,Jamani diamond ana like wengi lakin Mimi 12😢😢😢,4,2025-12-04T15:01:01Z,2025-12-04T15:01:01Z,False,2025-12-09T19:07:17.719850,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgzwJiiVuPRzcq33AU94AaABAg,,@WiniMwampamba,Wapee,0,2025-12-04T13:01:41Z,2025-12-04T13:01:41Z,False,2025-12-09T19:07:17.719856,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwQuGpWnelA5iEyzbN4AaABAg,,@GloryAlic,I like this song🥰,1,2025-12-04T12:49:12Z,2025-12-04T12:49:12Z,False,2025-12-09T19:07:17.719863,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgyGeJkJjvsS9DCKe9V4AaABAg,,@Yiblessine,https://youtube.com/shorts/YmK1PXbZH-A?si=YVznzpQdFCvLHBcJ,0,2025-12-04T12:33:31Z,2025-12-04T12:33:31Z,False,2025-12-09T19:07:17.719870,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwHy3AN21xN35nV-3F4AaABAg,,@OlivierAslay,❤❤❤😂🎉,0,2025-12-04T12:31:28Z,2025-12-04T12:31:28Z,False,2025-12-09T19:07:17.719882,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgzzUbM-QBTunTO3dzh4AaABAg,,@AminaClaudette,I love u,1,2025-12-04T11:44:17Z,2025-12-04T11:44:17Z,False,2025-12-09T19:07:17.719889,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwP-Aq2g7tFQL8aoD54AaABAg,,@PatriciaRoylex-m4k,Aki hii nyimbo sijui imeniteka Yani ilekuregelea naregele hiii aaaaahhbana weeee.....love from Kenya🇰🇪,1,2025-12-04T08:15:24Z,2025-12-04T08:15:24Z,False,2025-12-09T19:07:17.719897,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugwog3vc8WXXxriYBq94AaABAg,,@AbubakalisadikiMtilo,Diamond 💎💎💎💎💎💎💎💎💎 sana😂l love you too ❤❤❤❤❤,1,2025-12-04T06:55:56Z,2025-12-04T06:55:56Z,False,2025-12-09T19:07:17.719903,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxM5FHIlwTAVWZWynx4AaABAg,,@HajiChande-x7n,Simba unaweza🎉😂😂😮😮😅,0,2025-12-04T05:49:57Z,2025-12-04T05:49:57Z,False,2025-12-09T19:07:17.719915,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgysGPdHNdkgTjgaiNF4AaABAg,,@PriscaDonga-j3q5w,When i play this one i dont play it once,0,2025-12-03T22:25:58Z,2025-12-03T22:25:58Z,False,2025-12-09T19:07:17.719922,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxFBJgkNLybB3ftCgR4AaABAg,,@swalehebaya7004,Ngoma swafi sana mumeweza i say big sana wanangu pale OO1,0,2025-12-03T17:43:09Z,2025-12-03T17:43:09Z,False,2025-12-09T19:07:17.719929,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugz6UGn2EqLwODTRTVp4AaABAg,,@asiagosamwel2919,"Tangu nianze kumsupport Diamond sijawai pata ..
Kutoka Nairobi kenya😂254",1,2025-12-03T17:31:21Z,2025-12-03T17:31:21Z,False,2025-12-09T19:07:17.719936,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugz6UGn2EqLwODTRTVp4AaABAg.AQHKhUw3TjpAQHL3dV-oK9,Ugz6UGn2EqLwODTRTVp4AaABAg,@asiagosamwel2919,Happy 2026🎉🎉,0,2025-12-03T17:34:31Z,2025-12-03T17:34:31Z,True,2025-12-09T19:07:17.719945,#music
